id, vardas, pavarde, gauti pinigai, issiusti pinigai
2217, Ruben, Katheryn, 27452, 21585
1307, Andrea, Pate, 27817, 21744
3929, Jami, Berger, 26185, 22124
1089, Ladonna, Payne, 27398, 22431
3958, Elba, Kaufman, 23778, 22764
4580, Toby, Fernando, 23323, 22770
3012, Adam, Grant, 21496, 22894
4539, Gilbert, Weiss, 26555, 23069
3066, Cleo, Barnes, 26577, 23209
1699, Kathie, Stanton, 28528, 23538
3112, Summer, Evelyn, 29343, 23887
2254, Leila, Effie, 25341, 24108
2561, Antoine, Derek, 28368, 24173
2755, Reba, Kendrick, 25277, 24268
2941, Heath, Brian, 25576, 24900
2948, Johnathan, Baxter, 28118, 25181
3903, Ann, Dunlap, 30739, 25299
1538, Edgar, Moises, 27953, 25454
1824, Kurtis, Head, 23140, 25498
3544, Kimberly, Mullins, 20675, 26219
2070, Edmund, Mosley, 28449, 26798
3130, Rosella, Burks, 31348, 26918
3297, Damien, Avila, 31124, 27076
2383, Winnie, Page, 27183, 27775
4150, Angelina, Sims, 28022, 27929
2303, Sam, Quentin, 26401, 28325
2342, Liz, Austin, 27985, 28425
1625, Callie, Hawkins, 24730, 28685
2401, Elvin, Claude, 26723, 29276
2389, Rose, Buckley, 26157, 29653
1567, Shannon, Banks, 25382, 29726
2096, Lloyd, Chuck, 25638, 29987
3547, Robin, Olsen, 24432, 30085
1968, Dianne, Michael, 30168, 30102
3095, Rich, Shields, 26820, 30223
2811, Florence, Deirdre, 30737, 30238
2682, Jaime, Earline, 23715, 30615
2426, Nellie, Brady, 24002, 31208
2895, Patrica, Garrison, 26090, 31764
2146, Ezra, Sparks, 24733, 33555
